AREA_NAME,DISTRICT_NAME,LOCALE_NAME,ADDRESS,CITY,STATE,ZIP_CODE,LOG_REGION_NAME,LOG_DIVISION_NAME,PROC_REGION_NAME,PROC_DIVISION_NAME,Status,Incident_Type,Comment,LAST_EDITED_DATE,LAST_EDITED_USER,x,y
CENTRAL (J),MN-ND,MEDORA,355 3RD AVE,MEDORA,ND,58645,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:08 AM",QQWFR0,-11524180.1882,5928207.994999997
CENTRAL (J),MN-ND,PARSHALL,107 MAIN ST S,PARSHALL,ND,58770,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"11/16/2022, 7:58 PM",QQWFR0,-11369474.0372,6098923.5847999975
CENTRAL (J),MN-ND,MINOT,117 5TH AVE SW,MINOT,ND,58701,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"6/20/2021, 11:08 AM",QQWFR0,-11276126.2989,6145408.504600003
CENTRAL (J),MN-ND,MEKINOCK,150 MAIN ST,MEKINOCK,ND,58258,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:08 AM",QQWFR0,-10838715.6181,6109110.699500002
CENTRAL (J),MN-ND,MILNOR,420 MAIN ST,MILNOR,ND,58060,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:08 AM",QQWFR0,-10848683.1653,5821967.519400001
CENTRAL (J),MN-ND,MAKOTI,220 MAIN ST N,MAKOTI,ND,58756,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"12/19/2022, 10:27 AM",QQWFR0,-11332874.3037,6100360.264600001
CENTRAL (J),MN-ND,MINNEWAUKAN,151 MAIN ST E,MINNEWAUKAN,ND,58351,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:08 AM",QQWFR0,-11048565.4374,6118787.2951000035
CENTRAL (J),MN-ND,MCCLUSKY,220 MAIN ST S,MCCLUSKY,ND,58463,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:08 AM",QQWFR0,-11181287.1022,6021460.191600002
CENTRAL (J),MN-ND,MINTO,221 HARVEY AVE,MINTO,ND,58261,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:08 AM",QQWFR0,-10839388.7671,6155531.2870000005
CENTRAL (J),MN-ND,MADDOCK,202 CENTRAL AVE,MADDOCK,ND,58348,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"12/28/2022, 9:49 AM",QQWFR0,-11079678.1219,6100448.3715
CENTRAL (J),MN-ND,MOFFIT,206 MAIN ST N,MOFFIT,ND,58560,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"12/19/2022, 10:27 AM",QQWFR0,-11164799.6837,5889965.487300001
CENTRAL (J),MN-ND,NIAGARA,107 N 2ND ST,NIAGARA,ND,58266,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:08 AM",QQWFR0,-10894841.013,6106385.3675
CENTRAL (J),MN-ND,PAGE,137 MORTON AVE,PAGE,ND,58064,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:09 AM",QQWFR0,-10861560.0474,5968172.224100001
CENTRAL (J),MN-ND,PEKIN,223 MAIN ST N,PEKIN,ND,58361,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:09 AM",QQWFR0,-10945826.6756,6072459.397699997
CENTRAL (J),MN-ND,RYDER,280 N MAIN ST,RYDER,ND,58779,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:09 AM",QQWFR0,-11318230.6699,6093020.311499998
CENTRAL (J),MN-ND,OSNABROCK,326 BROADWAY,OSNABROCK,ND,58269,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"12/15/2022, 1:55 AM",QQWFR0,-10925962.7143,6219000.936700001
CENTRAL (J),MN-ND,SCRANTON,205 2ND AVE N,SCRANTON,ND,58653,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"12/28/2022, 9:49 AM",QQWFR0,-11482086.8378,5804146.652999997
CENTRAL (J),MN-ND,RUGBY,205 2ND ST SE,RUGBY,ND,58368,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:09 AM",QQWFR0,-11131320.2355,6168419.069499999
CENTRAL (J),MN-ND,POWERS LAKE,207 MAIN ST,POWERS LAKE,ND,58773,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:09 AM",QQWFR0,-11426624.0166,6200875.542300001
CENTRAL (J),MN-ND,ROLLA,119 1ST AVE SE,ROLLA,ND,58367,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:09 AM",QQWFR0,-11088911.517,6250971.774800003
CENTRAL (J),MN-ND,ROCKLAKE,44 MAIN ST,ROCKLAKE,ND,58365,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"12/19/2022, 10:27 AM",QQWFR0,-11047910.7675,6239469.207199998
CENTRAL (J),MN-ND,SAINT THOMAS,340 MAIN ST,SAINT THOMAS,ND,58276,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:09 AM",QQWFR0,-10847942.1115,6210512.7544
CENTRAL (J),MN-ND,PEMBINA,554 W ROLETTE ST,PEMBINA,ND,58271,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:09 AM",QQWFR0,-10825975.8817,6269859.886500001
CENTRAL (J),MN-ND,REEDER,204 MAIN ST,REEDER,ND,58649,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"11/16/2022, 7:58 PM",QQWFR0,-11459774.8496,5797422.742399998
CENTRAL (J),MN-ND,PETTIBONE,107 N MAIN ST,PETTIBONE,ND,58475,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"2/24/2023, 11:11 PM",QQWFR0,-11078482.1053,5961439.582999997
CENTRAL (J),MN-ND,ROLETTE,201 MAIN ST,ROLETTE,ND,58366,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:09 AM",QQWFR0,-11114715.2637,6217543.320100002
CENTRAL (J),MN-ND,REYNOLDS,321 4TH AVE,REYNOLDS,ND,58275,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:09 AM",QQWFR0,-10810040.1626,6052518.118699998
CENTRAL (J),MN-ND,PETERSBURG,214 5TH ST,PETERSBURG,ND,58272,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:09 AM",QQWFR0,-10909456.2602,6108771.3999999985
CENTRAL (J),MN-ND,PISEK,68 LOVICK AVE,PISEK,ND,58273,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:09 AM",QQWFR0,-10876828.0722,6158626.631800003
CENTRAL (J),MN-ND,REGENT,210 MAIN ST,REGENT,ND,58650,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:09 AM",QQWFR0,-11416575.4288,5848184.458800003
CENTRAL (J),MN-ND,NEW TOWN,361 MAIN ST,NEW TOWN,ND,58763,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"12/19/2022, 10:27 AM",QQWFR0,-11408599.3873,6103472.3156
CENTRAL (J),MN-ND,SPIRITWOOD,313 MAIN ST,SPIRITWOOD,ND,58481,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"2/24/2023, 11:11 PM",QQWFR0,-10964477.1431,5931638.131700002
CENTRAL (J),MN-ND,SARLES,301 MAIN ST,SARLES,ND,58372,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:09 AM",QQWFR0,-11020246.2042,6265556.226199999
CENTRAL (J),MN-ND,STREETER,107 FLORENCE ST N,STREETER,ND,58483,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:10 AM",QQWFR0,-11060737.4445,5886358.3138
CENTRAL (J),MN-ND,STEELE,101 1ST AVE SE,STEELE,ND,58482,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:10 AM",QQWFR0,-11122371.9296,5918348.069499999
CENTRAL (J),MN-ND,TIOGA,24 N MAIN ST,TIOGA,ND,58852,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:10 AM",QQWFR0,-11459037.692,6173045.9692
CENTRAL (J),MN-ND,SOUTH HEART,401 RUDOLPH AVE NW,SOUTH HEART,ND,58655,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:10 AM",QQWFR0,-11465038.4804,5920175.005800001
CENTRAL (J),MN-ND,STRASBURG,604 MAIN ST,STRASBURG,ND,58573,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"12/19/2022, 10:27 AM",QQWFR0,-11149901.017,5801778.5185
CENTRAL (J),MN-ND,STANTON,119 HARMON AVE,STANTON,ND,58571,CENTRAL,MIDWEST,WESTERN,MIDWEST,PARTIAL,Safety Concerns,"Retail OPS will be suspended Friday, Jan. 6, 2023 due to water damage and asbestos abatement. All mail and services have been or will be moved to Hazen PO, 13 1ST Ave SW Hazen, ND 58545.","1/5/2023, 6:00 PM",QQWFR0,-11285948.1289,5994612.474600002
CENTRAL (J),MN-ND,TAPPEN,112 N MAIN,TAPPEN,ND,58487,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:10 AM",QQWFR0,-11091389.4889,5921781.012900002
CENTRAL (J),MN-ND,SOLEN,202 N MAIN ST,SOLEN,ND,58570,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"12/28/2022, 9:49 AM",QQWFR0,-11220646.3345,5842641.911399998
